Date,Price
Feb 79,271.6
Mar 79,256.6
Apr 79,262.4
May 79,290.7
Jun 79,293.5
Jul 79,297.3
Aug 79,326.7
Sep 79,404.5
Oct 79,385.7
Nov 79,419.1
Dec 79,533.6
Jan 80,681.5
Feb 80,631.0
Mar 80,501.5
Apr 80,501.6
May 80,545.2
Jun 80,647.4
Jul 80,619.7
Aug 80,635.0
Sep 80,671.5
Oct 80,636.0
Nov 80,624.6
Dec 80,591.3
Jan 81,501.7
Feb 81,481.5
Mar 81,513.8
Apr 81,483.9
May 81,479.4
Jun 81,423.5
Jul 81,403.5
Aug 81,425.0
Sep 81,432.7
Oct 81,427.0
Nov 81,408.3
Dec 81,399.2
Jan 82,384.6
Feb 82,360.5
Mar 82,327.5
Apr 82,342.7
May 82,322.2
Jun 82,314.8
Jul 82,342.7
Aug 82,408.6
Sep 82,398.5
Oct 82,419.7
Nov 82,442.6
Dec 82,449.9
Jan 83,510.1
Feb 83,400.5
Mar 83,415.9
Apr 83,430.3
May 83,412.0
Jun 83,415.5
Jul 83,412.8
Aug 83,414.4
Sep 83,401.9
Oct 83,376.2
Nov 83,403.0
Dec 83,385.1
Jan 84,373.8
Feb 84,395.8
Mar 84,387.5
Apr 84,376.1
May 84,386.8
Jun 84,372.8
Jul 84,337.7
Aug 84,348.4
Sep 84,344.9
Oct 84,333.6
Nov 84,329.1
Dec 84,307.9
Jan 85,304.1
Feb 85,287.0
Mar 85,329.6
Apr 85,314.5
May 85,316.2
Jun 85,315.7
Jul 85,327.1
Aug 85,333.2
Sep 85,322.8
Oct 85,324.7
Nov 85,322.9
Dec 85,329.0
Jan 86,348.8
Feb 86,339.0
Mar 86,331.1
Apr 86,346.2
May 86,344.1
Jun 86,345.7
Jul 86,362.7
Aug 86,387.6
Sep 86,425.7
Oct 86,403.6
Nov 86,390.9
Dec 86,404.9
Jan 87,405.1
Feb 87,405.4
Mar 87,418.0
Apr 87,454.1
May 87,450.2
Jun 87,449.4
Jul 87,464.1
Aug 87,450.6
Sep 87,452.7
Oct 87,468.8
Nov 87,491.0
Dec 87,486.1
Jan 88,454.2
Feb 88,430.5
Mar 88,454.4
Apr 88,451.0
May 88,455.0
Jun 88,435.3
Jul 88,436.1
Aug 88,431.3
Sep 88,394.4
Oct 88,412.7
Nov 88,424.8
Dec 88,410.0
Jan 89,391.6
Feb 89,387.5
Mar 89,385.1
Apr 89,377.9
May 89,363.3
Jun 89,374.6
Jul 89,370.5
Aug 89,359.9
Sep 89,367.2
Oct 89,374.7
Nov 89,411.6
Dec 89,402.5
Jan 90,412.4
Feb 90,406.1
Mar 90,370.2
Apr 90,368.4
May 90,364.3
Jun 90,357.9
Jul 90,370.0
Aug 90,382.3
Sep 90,402.5
Oct 90,379.4
Nov 90,383.3
Dec 90,394.2
Jan 91,365.8
Feb 91,367.4
Mar 91,357.1
Apr 91,355.9
May 91,361.4
Jun 91,368.1
Jul 91,363.6
Aug 91,348.1
Sep 91,354.0
Oct 91,358.1
Nov 91,367.9
Dec 91,354.1
Jan 92,357.0
Feb 92,353.0
Mar 92,343.7
Apr 92,337.6
May 92,336.4
Jun 92,343.1
Jul 92,357.4
Aug 92,342.7
Sep 92,347.8
Oct 92,339.4
Nov 92,334.3
Dec 92,332.8
Jan 93,330.2
Feb 93,328.4
Mar 93,337.6
Apr 93,356.5
May 93,378.3
Jun 93,378.4
Jul 93,407.0
Aug 93,373.0
Sep 93,355.1
Oct 93,368.7
Nov 93,369.8
Dec 93,390.8
Jan 94,381.6
Feb 94,381.4
Mar 94,391.8
Apr 94,376.6
May 94,387.1
Jun 94,385.8
Jul 94,383.0
Aug 94,386.3
Sep 94,394.2
Oct 94,383.5
Nov 94,380.7
Dec 94,383.1
Jan 95,375.4
Feb 95,376.9
Mar 95,392.2
Apr 95,387.0
May 95,385.1
Jun 95,384.9
Jul 95,382.3
Aug 95,382.9
Sep 95,383.8
Oct 95,383.0
Nov 95,387.2
Dec 95,387.6
Jan 96,405.6
Feb 96,399.9
Mar 96,395.8
Apr 96,391.9
May 96,390.9
Jun 96,380.1
Jul 96,387.5
Aug 96,386.9
Sep 96,377.7
Oct 96,378.1
Nov 96,373.0
Dec 96,368.3
Jan 97,344.9
Feb 97,364.7
Mar 97,351.0
Apr 97,340.0
May 97,344.8
Jun 97,334.2
Jul 97,324.1
Aug 97,324.5
Sep 97,334.3
Oct 97,311.3
Nov 97,296.9
Dec 97,289.2
Jan 98,302.9
Feb 98,299.1
Mar 98,300.5
Apr 98,306.8
May 98,292.3
Jun 98,297.0
Jul 98,286.3
Aug 98,275.7
Sep 98,296.4
Oct 98,292.7
Nov 98,292.5
Dec 98,288.1
Jan 99,286.3
Feb 99,287.5
Mar 99,279.8
Apr 99,286.8
May 99,270.4
Jun 99,263.1
